Porosity,Resistivity,Water_Saturation
0.12529,6.52,1.0
0.14510999999999996,6.52,1.0
0.14510999999999996,6.52,1.0
0.13481,8.0,1.0
0.13481,8.0,1.0
0.12751,8.0,1.0
0.12751,8.75,1.0
0.13207,8.75,1.0
0.13207,8.75,1.0
0.13207,56.29,1.0
0.13207,56.29,1.0
0.13704,8.349999999999998,1.0
0.13704,8.96,1.0
0.13704,8.96,1.0
0.13704,8.96,1.0
0.12877,8.72,1.0
0.12553,8.72,1.0
0.12553,8.72,1.0
0.12553,8.72,1.0
0.12553,9.37,1.0
0.13777,9.37,1.0
0.13777,9.37,1.0
0.13777,13.98,1.0
0.13777,13.98,1.0
0.1378,12.65,1.0
0.1378,13.53,1.0
0.1378,13.53,1.0
0.1365,11.65,1.0
0.14345,15.17,0.99945
0.14345,13.09,0.99945
0.14345,13.09,0.99945
0.14345,11.31,0.99945
0.14345,13.33,0.99945
0.15009,11.61,0.99842
0.15009,10.19,0.99842
0.15009,9.11,0.99842
0.15009,11.87,0.99842
0.14887,10.6,0.99807
0.14688,9.64,0.81596
0.14688,8.929999999999998,0.81596
0.14688,11.48,0.81596
0.14337,10.4,0.64618
0.14337,9.57,0.64618
0.13816,8.92,0.56656
0.13296,11.27,0.4807
0.13296,10.24,0.4807
0.12283,9.49,0.31056
0.12283,8.88,0.31056
0.12172,8.359999999999998,0.25079
0.12172,10.11,0.25079
0.11787,9.38,0.25408
0.11787,8.82,0.25408
0.11787,8.349999999999998,0.25408
0.11787,10.420000000000002,0.25408
0.11829,9.7,0.32773
0.11829,9.12,0.32773
0.11829,8.67,0.32773
0.11829,8.259999999999998,0.32773
0.12037,7.9,0.40117
0.11818,7.57,0.57747
0.11818,9.35,0.57747
0.11818,8.97,0.57747
0.11818,8.64,0.57747
0.11502,8.349999999999998,0.52674
0.12982,8.099999999999998,0.3601
0.11502,7.849999999999999,0.52674
0.11502,7.63,0.52674
0.15887,7.42,0.21314
0.15887,7.23,0.21314
0.15887,7.07,0.21314
0.14269,9.0,0.1488
0.14813,8.81,0.15581
0.14813,8.62,0.15581
0.14813,8.449999999999998,0.15581
0.14813,8.269999999999998,0.15581
0.14813,8.109999999999998,0.15581
0.14892,7.969999999999998,0.13023
0.14892,7.849999999999999,0.13023
0.15552,7.75,0.2551
0.15552,7.679999999999999,0.2551
0.15115,7.62,0.24021
0.17643,9.7,0.2676
0.17643,9.62,0.2676
0.17643,9.51,0.2676
0.15852,9.44,0.20379
0.15852,9.39,0.20379
0.1631,9.36,0.14617
0.15852,9.36,0.20379
0.15852,9.38,0.20379
0.17648,9.44,0.2293
0.17648,9.52,0.2293
0.17648,9.63,0.2293
0.17392,11.83,0.18491
0.1763,11.83,0.15138
0.1763,11.83,0.15138
0.1763,11.8,0.15138
0.16103,11.8,0.1037
0.16346,11.8,0.14292
0.16346,11.82,0.14292
0.16346,11.82,0.14292
0.10547,6.52,1.0
0.14510999999999996,6.52,1.0
0.13477,6.52,1.0
0.12751,8.0,1.0
0.12751,8.0,1.0
0.12751,8.0,1.0
0.12751,8.75,1.0
0.13207,8.75,1.0
0.13207,8.75,1.0
0.13207,56.29,1.0
0.13207,56.29,1.0
0.13207,8.349999999999998,1.0
0.13704,8.96,1.0
0.12614,8.96,1.0
0.12614,8.96,1.0
0.12614,8.72,1.0
0.12553,8.72,1.0
0.12553,8.72,1.0
0.12553,8.72,1.0
0.12553,9.37,1.0
0.13777,9.37,1.0
0.13777,9.37,1.0
0.13777,13.98,1.0
0.13777,13.98,1.0
0.1365,12.65,1.0
0.1365,13.53,1.0
0.1365,13.53,1.0
0.1365,11.65,1.0
0.1365,15.17,1.0
0.14345,13.09,0.99945
0.14345,13.09,0.99945
0.14345,11.31,0.99945
0.14345,13.33,0.99945
0.15009,11.61,0.99842
0.15009,10.19,0.99842
